city,date,conditionId,bucketLoC,bucketHiC,kind,snapshotTs,obsMaxC,signedDist,bucketRel,side,entryPrice,noPrice,yesPrice,exitPrice,exitTs,exitReason,holdMin,shares,pnl,fresh,priorTicks
Amsterdam,2026-04-20,0xb4e6f495a3b157419298673ae417cdb20798f653130c8c06459066d9d541869d,12,12,exact,1776702599,12.7,-0.7,above_obs,NO,0.05,0.05,0.98,0.01,1776703326,stop-loss,12,2000,-80,71,167
Amsterdam,2026-04-03,0xd54b09626462637f81652dc8bac4e2c2bc0ce9f9415456bc1c093f25f2dba6ea,11,11,exact,1775234079,11.4,-0.4,above_obs,NO,0.12,0.12,0.92,0.19,1775242485,timeout,140,833.33,58.33,264,63
Lagos,2026-04-18,0xce895928e1cd9adbec9a149c4b8f8b1c038fa7e41681cbf6f0902f4a30524801,31,31,exact,1776532499,32,-1,above_obs,NO,0.9,0.9,0.1627,0.041,1776533282,stop-loss,13,111.11,-95.44,55,114
Amsterdam,2026-04-04,0x261544cefd247fb3e36d2868f9dc54c3efe234b0d6e7c97c15b0d583426da6d7,15,15,exact,1775328299,15.1,-0.1,above_obs,NO,0.069,0.069,0.996,0.005,1775334089,stop-loss,97,1449.28,-92.75,268,85
Wellington,2026-03-23,0xc8e93f79a95df3b33f059ab07e9616f419753b5bc2a2b40808e9457b97320c32,19,19,exact,1774242899,20.2,-1.2,above_obs,NO,0.95,0.95,0.0283,0.086,1774244957,stop-loss,34,105.26,-90.95,132,171
Lagos,2026-04-20,0xcb7c13bcc8ba9c0b30a50a7d33154769bb00b29234ea3dc368a054d0f102c916,30,30,exact,1776704399,31.7,-1.7,above_obs,NO,0.8446,0.8446,0.17,0.98,1776716874,profit-take,208,118.4,16.04,105,37
Lagos,2026-04-20,0xddcb0ae8cbc0b4b4cd6b4a712dc2ef906c291493651c886860086bdb223f918e,31,31,exact,1776704399,31.7,-0.7,above_obs,NO,0.675,0.675,0.314,0.93,1776711664,timeout,121,148.15,37.78,123,188
Milan,2026-04-19,0x443032fd196245bc6596a0dac3813e732df87d89d3ec3b5b6f2911eec3045bec,24,24,exact,1776614399,25.6,-1.6,above_obs,NO,0.08,0.08,0.966,0.01,1776615614,stop-loss,20,1250,-87.5,235,137
Busan,2026-04-09,0x405663b133733e79bf37dbbff5fd002186416e597e70461c6250f7332f848762,15,15,exact,1775725199,15.1,-0.1,above_obs,NO,0.892,0.892,0.107,0.378,1775728251,stop-loss,51,112.11,-57.62,56,227
Tel Aviv,2026-03-29,0xa605c17afd9c6781c95b3fa63c22abecac66a569ed06fe119ddfecd237d44219,22,22,exact,1774808099,22.4,-0.4,above_obs,NO,0.8689,0.8689,0.995,0.008,1774809178,stop-loss,18,115.09,-99.08,19,41
Madrid,2026-04-01,0x7a99865459d33d39e83278ea37ce733d2b02fbb3e37ea172d35cf4e356643776,19,19,exact,1775059199,20.1,-1.1,above_obs,NO,0.07,0.07,0.92,0.02,1775059501,stop-loss,5,1428.57,-71.43,134,223
Madrid,2026-04-01,0xf12997218083287cdfb5a76dd984f70c90d0bcc75d4d0fa50b4e92c3b763b1bc,20,20,exact,1775059199,20.1,-0.1,above_obs,NO,0.93,0.93,0.0711,0.98,1775059513,profit-take,5,107.53,5.38,268,153
