city,date,conditionId,bucketLoC,bucketHiC,kind,snapshotTs,obsMaxC,signedDist,bucketRel,side,entryPrice,noPrice,yesPrice,exitPrice,exitTs,exitReason,holdMin,shares,pnl,fresh,priorTicks
Warsaw,2026-04-07,0xafb38263caef6ed8ab7a54a1ec773d4df4b7fdaa51918a8bb40a0aac412f2556,8,8,exact,1775557799,8,0,contains,YES,0.033,0.967,0.033,0.001,1775568571,timeout,180,3030.3,-96.97,10,246
Kuala Lumpur,2026-04-16,0xa554c426d0b165b7180ff557d30397a253c027bd36f23aa40287ace8deaff7c2,31,31,exact,1776305699,31,0,contains,YES,0.085,0.95,0.085,0.03,1776307114,tape-ended,24,1176.47,-64.71,123,33
Wuhan,2026-03-25,0x2525565e61ecdb8f43750eb420727dbbc411a25196c56b123b0a398ee53bff82,21,21,exact,1774422899,21,0,contains,YES,0.03,0.97,0.03,0.98,1774429661,profit-take,113,3333.33,3166.67,6,86
Toronto,2026-04-14,0x265d99bfca5b37742350d122e5d3ce6f2e83c9d528f88fb2a1a0f15e5531a4f8,22,22,exact,1776188699,22,0,contains,YES,0.18,0.81,0.18,0.001,1776189436,tape-ended,12,555.56,-99.44,7,121
Taipei,2026-04-18,0x7cc97a7f345dc576b31e8b609358d7de240a62e7d1d9eeebf6123c98405bd76e,25,25,exact,1776472199,25,0,contains,YES,0.138,0.83,0.138,0.001,1776479596,timeout,123,724.64,-99.28,65,10
Milan,2026-03-26,0x1a4d84dc4a89f890ae76b9a126c50160ba2de0572e98120a7d27f3d7d034dd06,11,11,exact,1774511999,11,0,contains,YES,0.031,0.969,0.031,0.0109,1774514733,tape-ended,46,3225.81,-64.71,142,215
Toronto,2026-04-21,0x00ab5636a5979fca8d1a112da5e92f9e5c8aad0bc365415d13c2e2f4e78eabd2,11,11,exact,1776796199,11,0,contains,YES,0.096,0.9445,0.096,0.789,1776803426,timeout,120,1041.67,721.88,25,10
Munich,2026-04-15,0x11c88f91597c52eaab222bcae8d1490d9f59b297eddf7963b0b943b4d832cec5,12,12,exact,1776257099,12,0,contains,YES,0.049,0.952,0.049,0.001,1776263640,tape-ended,109,2040.82,-97.96,181,61
Helsinki,2026-04-21,0x79ca8e94fb97d2112ead01183c0da9769fd4f34b6dd563d4f184d1a5f0d2183c,14,14,exact,1776769199,14,0,contains,YES,0.066,0.9599,0.066,0.001,1776777006,timeout,130,1515.15,-98.48,167,211
Seoul,2026-03-25,0xd12b28aca75bd0b8287b4a4ac89ac3e58f097a75e20cc6181f5ba6e5e7ba6765,12,12,exact,1774404899,12,0,contains,YES,0.079,0.929,0.079,0.001,1774412035,tape-ended,119,1265.82,-98.73,2,191
Mexico City,2026-04-17,0xb23381c803e49642b1dde50ae2ac2ee80f48bec62ba2e1d3af829e17b3e42694,27,27,exact,1776451499,27,0,contains,YES,0.031,0.921,0.031,0.001,1776458434,tape-ended,116,3225.81,-96.77,117,14
Jeddah,2026-04-16,0x28e1392f1028992a6f70d1d3edf255ba19c76fcf06692985c85adb45d07e9866,34,34,exact,1776324599,34,0,contains,YES,0.06,0.93,0.06,0.001,1776330134,tape-ended,92,1666.67,-98.33,19,9
Amsterdam,2026-04-15,0xc3f5333267dcebd793113f4ab39a459d274c596090a4ed5cd908b7c3645d108e,17,17,exact,1776257999,17,0,contains,YES,0.107,0.8831,0.107,0.001,1776259612,tape-ended,27,934.58,-99.07,43,29
Chongqing,2026-04-12,0x98092f140610a4ad1be75af52297a4b8ad21470cfad88c2aed1a7b805a2432d4,22,22,exact,1775971799,22,0,contains,YES,0.08,0.92,0.08,0.001,1775984471,timeout,211,1250,-98.75,138,176
Istanbul,2026-04-16,0x94058a602c360f8d28d9047b354a503f4b34f79635e16daaa13d7257afa64b77,11,11,exact,1776320999,11,0,contains,YES,0.039,0.97,0.039,0.0846,1776328580,timeout,126,2564.1,116.9,87,119
Munich,2026-03-30,0x424f43abe5e3afaa77073025b23fd32d319c4d99dabc6d42519511059d19fee0,5,5,exact,1774861714,5,0,contains,YES,0.19,0.92,0.19,0.18,1774868914,timeout,120,526.32,-5.26,6,177
Moscow,2026-04-11,0x7bcc0b124222cef9108fe5ebe0f794e87e946e47a137000a0a9f25a572190b46,4,4,exact,1775901599,4,0,contains,YES,0.1412,0.854,0.1412,0.001,1775903755,tape-ended,36,707.97,-99.29,230,233
Chengdu,2026-04-21,0xf9b94623cf83480dd7e9ab3969d1fe10e66889fea18372b4727bd3673e628071,18,18,exact,1776744899,18,0,contains,YES,0.123,0.941,0.123,0.001,1776752414,timeout,125,813.01,-99.19,1,214
Seoul,2026-03-28,0xec9642b6cd9094b859de879b78b3e57a317a86b16bdde225a3995b862b13ee3e,10,10,exact,1774664099,10,0,contains,YES,0.0375,0.947,0.0375,0.001,1774672239,timeout,136,2663.67,-97.34,82,107
Seoul,2026-03-28,0xe91f8c202a26ac6bdcfc36224542c6372411b8278756ff781f06c7be7ceb472c,11,11,exact,1774665899,11,0,contains,YES,0.101,0.9064,0.101,0.8,1774673143,timeout,121,990.1,692.08,86,12
Helsinki,2026-04-05,0xbb75f1512dfc82092f68e2d00034030e62b9d09e8a6bd8cb409aa7d80b764a79,4,4,exact,1775375099,4,0,contains,YES,0.15,0.9254,0.15,0.01,1775379113,tape-ended,67,666.67,-93.33,256,17
Busan,2026-04-17,0xb1c41953f86f920c00e7cbc01c107ef45461856ac015d03919f0f8fcc3a80f34,16,16,exact,1776392999,16,0,contains,YES,0.08,0.92,0.08,0.003,1776394786,tape-ended,30,1250,-96.25,135,29
Busan,2026-04-17,0x8b59b8b5f4d06a0d8278848c44eff03fd94097ee7a837ae86cfc697d96ec37f2,18,18,exact,1776401999,18,0,contains,YES,0.13,0.85,0.13,0.001,1776405750,tape-ended,63,769.23,-99.23,77,191
Buenos Aires,2026-04-21,0x02b5b68fdd5e4c9b46f692c1478acc977ea31c245033c6503c98ebb19e712478,20,20,exact,1776736799,20,0,contains,YES,0.088,0.94,0.088,0.089,1776744692,timeout,132,1136.36,1.14,37,181
Buenos Aires,2026-04-21,0xa360eafc75cf053aaf67eee412f739d91cef7cdca40c456ac2fe8c8e11f93a66,19,19,exact,1776774599,21,-2,above_obs,NO,0.966,0.966,0.034,0.981,1776776250,profit-take,28,103.52,1.55,117,27
Buenos Aires,2026-04-21,0x50757bbef09ec4676ac2e8c0c018598837b063e9b72e3fd834226fdefed278f0,21,21,exact,1776792599,21,0,contains,YES,0.18,0.7917,0.18,0.7839,1776798180,tape-ended,93,555.56,335.48,77,75
Lucknow,2026-04-20,0x4d5c527fbc93310340d963b77f61ea18abcd1f6b7069eed352f9bc1e6b037264,,39,or_below,1776644999,25,0,contains,YES,0.036,0.961,0.036,0.0162,1776653582,timeout,143,2776.84,-54.9,155,194
Tel Aviv,2026-04-13,0x1287f3eadf7f18492dfdfccf1c10bd3e869eadeb33c9bd101f6bd3c54e845edc,21,21,exact,1776072599,21,0,contains,YES,0.08,0.921,0.08,0.24,1776080039,timeout,124,1250,200,6,20
Istanbul,2026-04-18,0x934489addc24324cfad8b5d1a4f8c62d62c9cb3a8a351e860493519aed331a2a,12,12,exact,1776491999,12,0,contains,YES,0.095,0.95,0.095,0.09,1776499610,timeout,127,1052.63,-5.26,121,158
Amsterdam,2026-04-12,0xa28dde9b7ff59bd4e192c801bc3b705154bb0ea2194dc7d159fb36cffd31cc3d,13,13,exact,1775994299,13,0,contains,YES,0.059,0.966,0.059,0.001,1775997067,tape-ended,46,1694.92,-98.31,58,34
Amsterdam,2026-04-12,0x715e306c8c760f5c6a1e2a5a73858f8e61079a1487ffdb12888e5ec1e74e098e,14,14,exact,1775998799,14,0,contains,YES,0.17,0.8403,0.17,0.99,1776000609,profit-take,30,588.24,482.35,156,26
Seoul,2026-04-02,0x968b5604e92616a135ea545ddcd86fe98fcc595d34efcf97bb835430b48e1946,12,12,exact,1775096099,13,-1,above_obs,NO,0.94,0.94,0.02,0.9893,1775096409,profit-take,5,106.38,5.24,18,240
Seoul,2026-04-02,0xb30770f3abc388d54d370c618845de88a47bf2020a16bfce39150a3684368623,13,13,exact,1775096999,13,0,contains,YES,0.1306,0.87,0.1306,0.001,1775099571,tape-ended,43,765.47,-99.23,8,171
Tokyo,2026-04-02,0x034c4380342e6168210675424071e9c02ddb84bae715017055d725076cabfc13,12,12,exact,1775106899,12,0,contains,YES,0.0556,0.949,0.0556,0.001,1775111001,tape-ended,68,1797.86,-98.2,24,107
Tokyo,2026-04-02,0xcd22eb33443811316486a7c5b511416441b54fd02f779b6723e6630ff534c1b4,13,13,exact,1775108699,13,0,contains,YES,0.11,0.8768,0.11,0.001,1775115237,tape-ended,109,909.09,-99.09,88,118
Warsaw,2026-03-27,0x8ec80ae500b6d381fc8d688e70c81a10adf61add10dd8678e04ea2cdea2b87eb,9,9,exact,1774608299,9,0,contains,YES,0.07,0.929,0.07,0.0653,1774614531,tape-ended,104,1428.57,-6.67,12,226
